,Date,HomeTeam,AwayTeam,FTR,HomeTeamcat,AwayTeamcat,FTRcat,MatchYear
288,2001-03-17,Chelsea,Sunderland,A,13,40,0,2001
289,2001-03-17,ManUnited,Leicester,H,26,23,2,2001
290,2001-03-17,Newcastle,Middlesbrough,A,29,28,0,2001
291,2001-03-17,Southampton,Everton,H,38,17,2,2001
292,2001-03-17,Tottenham,Coventry,H,43,14,2,2001
293,2001-03-17,WestHam,Ipswich,A,46,21,0,2001
294,2001-03-18,AstonVilla,Arsenal,D,1,0,1,2001
295,2001-03-18,Liverpool,Derby,D,24,16,1,2001
296,2001-03-31,Arsenal,Tottenham,H,0,43,2,2001
297,2001-03-31,Bradford,Newcastle,D,8,29,1,2001
298,2001-03-31,Chelsea,Middlesbrough,H,13,28,2,2001
299,2001-03-31,Coventry,Derby,H,14,16,2,2001
300,2001-03-31,Liverpool,ManUnited,H,24,26,2,2001
301,2001-03-31,ManCity,AstonVilla,A,25,1,0,2001
302,2001-03-31,Sunderland,Leeds,A,40,22,0,2001
303,2001-03-31,WestHam,Everton,A,46,17,0,2001
304,2001-01-04,Charlton,Leicester,H,12,23,2,2001
305,2001-02-04,Southampton,Ipswich,A,38,21,0,2001
306,2001-04-04,AstonVilla,Leicester,H,1,23,2,2001
307,2001-07-04,AstonVilla,WestHam,D,1,46,1,2001
308,2001-07-04,Derby,Chelsea,A,16,13,0,2001
309,2001-07-04,Leeds,Southampton,H,22,38,2,2001
310,2001-07-04,Leicester,Coventry,A,23,14,0,2001
311,2001-08-04,Everton,ManCity,H,17,25,2,2001
312,2001-09-04,Middlesbrough,Sunderland,D,28,40,1,2001
313,2001-10-04,Ipswich,Liverpool,D,21,24,1,2001
314,2001-10-04,ManUnited,Charlton,H,26,12,2,2001
315,2001-10-04,Tottenham,Bradford,H,43,8,2,2001
316,2001-11-04,ManCity,Arsenal,A,25,0,0,2001
317,2001-04-13,Bradford,Charlton,H,8,12,2,2001
318,2001-04-13,Liverpool,Leeds,A,24,22,0,2001
319,2001-04-14,Arsenal,Middlesbrough,A,0,28,0,2001
320,2001-04-14,AstonVilla,Everton,H,1,17,2,2001
321,2001-04-14,Chelsea,Southampton,H,13,38,2,2001
322,2001-04-14,Ipswich,Newcastle,H,21,29,2,2001
323,2001-04-14,Leicester,ManCity,A,23,25,0,2001
324,2001-04-14,ManUnited,Coventry,H,26,14,2,2001
325,2001-04-14,Sunderland,Tottenham,A,40,43,0,2001
326,2001-04-14,WestHam,Derby,H,46,16,2,2001
327,2001-04-16,Coventry,Sunderland,H,14,40,2,2001
328,2001-04-16,Derby,Leicester,H,16,23,2,2001
329,2001-04-16,Everton,Liverpool,A,17,24,0,2001
330,2001-04-16,Middlesbrough,Ipswich,A,28,21,0,2001
331,2001-04-16,Newcastle,WestHam,H,29,46,2,2001
332,2001-04-17,Charlton,AstonVilla,D,12,1,1,2001
333,2001-04-17,Tottenham,Chelsea,A,43,13,0,2001
334,2001-04-21,Arsenal,Everton,H,0,17,2,2001
335,2001-04-21,AstonVilla,Southampton,D,1,38,1,2001
336,2001-04-21,Bradford,Derby,H,8,16,2,2001
337,2001-04-21,Chelsea,Charlton,A,13,12,0,2001
338,2001-04-21,Ipswich,Coventry,H,21,14,2,2001
339,2001-04-21,Leicester,Middlesbrough,A,23,28,0,2001
340,2001-04-21,ManUnited,ManCity,D,26,25,1,2001
341,2001-04-21,Sunderland,Newcastle,D,40,29,1,2001
342,2001-04-21,WestHam,Leeds,A,46,22,0,2001
343,2001-04-22,Liverpool,Tottenham,H,24,43,2,2001
344,2001-04-28,Coventry,Liverpool,A,14,24,0,2001
345,2001-04-28,Derby,Arsenal,A,16,0,0,2001
346,2001-04-28,Everton,Bradford,H,17,8,2,2001
347,2001-04-28,Leeds,Chelsea,H,22,13,2,2001
348,2001-04-28,ManCity,WestHam,H,25,46,2,2001
349,2001-04-28,Middlesbrough,ManUnited,A,28,26,0,2001
350,2001-04-28,Newcastle,Leicester,H,29,23,2,2001
351,2001-04-28,Southampton,Sunderland,A,38,40,0,2001
352,2001-04-28,Tottenham,AstonVilla,D,43,1,1,2001
353,2001-04-30,Charlton,Ipswich,H,12,21,2,2001
354,2001-01-05,Bradford,Liverpool,A,8,24,0,2001
355,2001-01-05,Newcastle,Southampton,D,29,38,1,2001
356,2001-05-05,Arsenal,Leeds,H,0,22,2,2001
357,2001-05-05,AstonVilla,Coventry,H,1,14,2,2001
358,2001-05-05,Bradford,Middlesbrough,D,8,28,1,2001
359,2001-05-05,Chelsea,Everton,H,13,17,2,2001
360,2001-05-05,Leicester,Tottenham,H,23,43,2,2001
361,2001-05-05,Liverpool,Newcastle,H,24,29,2,2001
362,2001-05-05,ManUnited,Derby,A,26,16,0,2001
363,2001-05-05,Sunderland,Charlton,H,40,12,2,2001
364,2001-05-05,WestHam,Southampton,H,46,38,2,2001
365,2001-07-05,Ipswich,ManCity,H,21,25,2,2001
366,2001-08-05,Liverpool,Chelsea,D,24,13,1,2001
367,2001-05-13,Leeds,Bradford,H,22,8,2,2001
368,2001-05-13,Southampton,ManUnited,H,38,26,2,2001
369,2001-05-15,Newcastle,Arsenal,D,29,0,1,2001
370,2001-05-19,Charlton,Liverpool,A,12,24,0,2001
371,2001-05-19,Coventry,Bradford,D,14,8,1,2001
372,2001-05-19,Derby,Ipswich,D,16,21,1,2001
373,2001-05-19,Everton,Sunderland,D,17,40,1,2001
374,2001-05-19,Leeds,Leicester,H,22,23,2,2001
375,2001-05-19,ManCity,Chelsea,A,25,13,0,2001
376,2001-05-19,Middlesbrough,WestHam,H,28,46,2,2001
377,2001-05-19,Newcastle,AstonVilla,H,29,1,2,2001
378,2001-05-19,Southampton,Arsenal,H,38,0,2,2001
379,2001-05-19,Tottenham,ManUnited,H,43,26,2,2001
380,2001-08-18,Charlton,Everton,A,12,17,0,2001
381,2001-08-18,Derby,Blackburn,H,16,4,2,2001
382,2001-08-18,Leeds,Southampton,H,22,38,2,2001
383,2001-08-18,Leicester,Bolton,A,23,6,0,2001
384,2001-08-18,Liverpool,WestHam,H,24,46,2,2001
385,2001-08-18,Middlesbrough,Arsenal,A,28,0,0,2001
386,2001-08-18,Sunderland,Ipswich,H,40,21,2,2001
387,2001-08-18,Tottenham,AstonVilla,D,43,1,1,2001
388,2001-08-19,Chelsea,Newcastle,D,13,29,1,2001
389,2001-08-19,ManUnited,Fulham,H,26,18,2,2001
390,2001-08-20,Everton,Tottenham,D,17,43,1,2001
391,2001-08-21,Arsenal,Leeds,A,0,22,0,2001
392,2001-08-21,Bolton,Middlesbrough,H,6,28,2,2001
393,2001-08-21,Ipswich,Derby,H,21,16,2,2001
394,2001-08-22,Blackburn,ManUnited,D,4,26,1,2001
395,2001-08-22,Fulham,Sunderland,H,18,40,2,2001
396,2001-08-25,Arsenal,Leicester,H,0,23,2,2001
397,2001-08-25,Blackburn,Tottenham,H,4,43,2,2001
398,2001-08-25,Everton,Middlesbrough,H,17,28,2,2001
399,2001-08-25,Fulham,Derby,D,18,16,1,2001
400,2001-08-25,Ipswich,Charlton,A,21,12,0,2001
401,2001-08-25,Southampton,Chelsea,A,38,13,0,2001
402,2001-08-25,WestHam,Leeds,D,46,22,1,2001
403,2001-08-26,AstonVilla,ManUnited,D,1,26,1,2001
404,2001-08-26,Newcastle,Sunderland,D,29,40,1,2001
405,2001-08-27,Bolton,Liverpool,H,6,24,2,2001
406,2001-08-09,Chelsea,Arsenal,D,13,0,1,2001
407,2001-08-09,Derby,WestHam,D,16,46,1,2001
408,2001-08-09,Leeds,Bolton,D,22,6,1,2001
409,2001-08-09,Leicester,Ipswich,D,23,21,1,2001
410,2001-08-09,Liverpool,AstonVilla,A,24,1,0,2001
411,2001-08-09,ManUnited,Everton,H,26,17,2,2001
412,2001-08-09,Middlesbrough,Newcastle,A,28,29,0,2001
413,2001-08-09,Sunderland,Blackburn,H,40,4,2,2001
414,2001-09-09,Charlton,Fulham,D,12,18,1,2001
415,2001-09-09,Tottenham,Southampton,H,43,38,2,2001
416,2001-09-15,Bolton,Southampton,A,6,38,0,2001
417,2001-09-15,Derby,Leicester,A,16,23,0,2001
418,2001-09-15,Everton,Liverpool,A,17,24,0,2001
419,2001-09-15,Fulham,Arsenal,A,18,0,0,2001
420,2001-09-15,Middlesbrough,WestHam,H,28,46,2,2001
421,2001-09-15,Newcastle,ManUnited,H,29,26,2,2001
422,2001-09-16,AstonVilla,Sunderland,D,1,40,1,2001
423,2001-09-16,Charlton,Leeds,A,12,22,0,2001
424,2001-09-16,Ipswich,Blackburn,D,21,4,1,2001
425,2001-09-16,Tottenham,Chelsea,A,43,13,0,2001
426,2001-09-17,Leicester,Middlesbrough,A,23,28,0,2001
427,2001-09-19,Blackburn,Bolton,D,4,6,1,2001
428,2001-09-19,Sunderland,Tottenham,A,40,43,0,2001
429,2001-09-22,Arsenal,Bolton,D,0,6,1,2001
430,2001-09-22,Blackburn,Everton,H,4,17,2,2001
431,2001-09-22,Leicester,Fulham,D,23,18,1,2001
432,2001-09-22,Liverpool,Tottenham,H,24,43,2,2001
433,2001-09-22,ManUnited,Ipswich,H,26,21,2,2001
434,2001-09-22,Sunderland,Charlton,D,40,12,1,2001
435,2001-09-23,Chelsea,Middlesbrough,D,13,28,1,2001
436,2001-09-23,Leeds,Derby,H,22,16,2,2001
437,2001-09-23,WestHam,Newcastle,H,46,29,2,2001
438,2001-09-24,Southampton,AstonVilla,A,38,1,0,2001
439,2001-09-26,Newcastle,Leicester,H,29,23,2,2001
440,2001-09-29,Bolton,Sunderland,A,6,40,0,2001
441,2001-09-29,Charlton,Leicester,H,12,23,2,2001
442,2001-09-29,Derby,Arsenal,A,16,0,0,2001
